model,f1,auc_roc,precision,recall,accuracy
XGBoost,0.9678169833268708,0.9916880045373949,0.9972033559728326,0.9401129943502825,0.9754401538689155
Random Forest,0.9643339117023327,0.9915612162861641,0.9877567140600316,0.9419962335216573,0.9726290871430685
Logistic Regression,0.8933440256615878,0.9505458364995981,0.9549935705100728,0.8391713747645951,0.9212901316762835
